,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Iron,Magnesium,Of which Polyunsaturated,Omega 3,Potassium,Zinc,Selenium,Vitamin E,Polyunsaturates,Sodium,Vitamin D,Vitamin C,Riboflavin,Vitamin B12,Cholesterol,Of which Trans
0,"6,3g",35kcal,"0,1g","1,1g","0,0g","4,4g","1,2g","0,35g",Cirio Passata,,,,,,,,,,,,,,,,,
1,3.8g,23kcal,<0.5g,0.6g,0.0g,3.4g,1.2g,0.03g,Duchy Organic Plum Tomatoes In Natural Juice,,,,,,,,,,,,,,,,,
2,7.8g,49kcal,0.9g,,0.2g,6.1g,1.7g,0.44g,Mutti Passata Gastronomia Baby Roma Tomatoes,,,,,,,,,,,,,,,,,
3,3.8g,24kcal,<0.5g,1.5g,0.0g,3.5g,1.1g,0.03g,Waitrose Peeled Italian Cherry Tomatoes,,,,,,,,,,,,,,,,,
4,"3,6g",-22kcal,0g,,0g,"2,9g","1,1g","0,1g",Mutti Cherry Tomatoes,,,,,,,,,,,,,,,,,
5,3.8g,23kcal,<0.5g,0.6g,0.0g,3.4g,1.2g,0.0g,Essential Plum Tomatoes in Natural Juice,,,,,,,,,,,,,,,,,
6,,,,,,,,,Bomba! Tomato Purée,,,,,,,,,,,,,,,,,
7,4.9g,28kcal,<0.5g,1.0g,0.0g,4.3g,1.4g,0.03g,Waitrose Duchy Passata,,,,,,,,,,,,,,,,,
8,"3,6g",22kcal,"<0,5g",,"<0,1g","2,9g","1,1g","0,01g",Mutti San Marzano Tomatoes,,,,,,,,,,,,,,,,,
9,3.8g,23kcal,<0.5g,0.6g,0.0g,3.4g,1.2g,0.0g,Essential Plum Tomatoes in Natural Juice,,,,,,,,,,,,,,,,,
10,"4,2g",27kcal,"0,2g","1,1g","0,1g","3,8g","1,1g","0,02g",Cirio Pelati Peeled Plum Tomatoes,,,,,,,,,,,,,,,,,
11,7.6g,51kcal,1.2g,,0.2g,6.4g,1.6g,0.50g,Mutti Passata Gastronomia with Cherry Tomatoes,,,,,,,,,,,,,,,,,
12,3.3g,27kcal,0.9g,1.3g,0.0g,2.9g,0.8g,0.40g,"Waitrose chopped tomatoes, olive oil & garlic",,,,,,,,,,,,,,,,,
13,4.9g,28kcal,<0.5g,1.4g,0.0g,4.2g,1.1g,0.01g,Waitrose chopped tomatoes with chopped basil,,,,,,,,,,,,,,,,,
14,"3,6g",-22kcal,0g,,0g,"2,9g","1,1g","0,1g",Mutti Peeled Tomatoes,,,,,,,,,,,,,,,,,
